"instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","date"
1,"1/1/2011",1,0,1,0,0,"sat","no","1_clear",0.24,0.2879,0.81,0,3,13,16,2011-01-01 00:00:00
2,"1/1/2011",1,0,1,1,0,"sat","no","1_clear",0.22,0.2727,0.8,0,8,32,40,2011-01-01 01:00:00
3,"1/1/2011",1,0,1,2,0,"sat","no","1_clear",0.22,0.2727,0.8,0,5,27,32,2011-01-01 02:00:00
4,"1/1/2011",1,0,1,3,0,"sat","no","1_clear",0.24,0.2879,0.75,0,3,10,13,2011-01-01 03:00:00
5,"1/1/2011",1,0,1,4,0,"sat","no","1_clear",0.24,0.2879,0.75,0,0,1,1,2011-01-01 04:00:00
6,"1/1/2011",1,0,1,5,0,"sat","no","2_Mist+cloudy",0.24,0.2576,0.75,0.0896,0,1,1,2011-01-01 05:00:00
7,"1/1/2011",1,0,1,6,0,"sat","no","1_clear",0.22,0.2727,0.8,0,2,0,2,2011-01-01 06:00:00
8,"1/1/2011",1,0,1,7,0,"sat","no","1_clear",0.2,0.2576,0.86,0,1,2,3,2011-01-01 07:00:00
9,"1/1/2011",1,0,1,8,0,"sat","no","1_clear",0.24,0.2879,0.75,0,1,7,8,2011-01-01 08:00:00
10,"1/1/2011",1,0,1,9,0,"sat","no","1_clear",0.32,0.3485,0.76,0,8,6,14,2011-01-01 09:00:00
11,"1/1/2011",1,0,1,10,0,"sat","no","1_clear",0.38,0.3939,0.76,0.2537,12,24,36,2011-01-01 10:00:00
12,"1/1/2011",1,0,1,11,0,"sat","no","1_clear",0.36,0.3333,0.81,0.2836,26,30,56,2011-01-01 11:00:00
13,"1/1/2011",1,0,1,12,0,"sat","no","1_clear",0.42,0.4242,0.77,0.2836,29,55,84,2011-01-01 12:00:00
14,"1/1/2011",1,0,1,13,0,"sat","no","2_Mist+cloudy",0.46,0.4545,0.72,0.2985,47,47,94,2011-01-01 13:00:00
15,"1/1/2011",1,0,1,14,0,"sat","no","2_Mist+cloudy",0.46,0.4545,0.72,0.2836,35,71,106,2011-01-01 14:00:00
16,"1/1/2011",1,0,1,15,0,"sat","no","2_Mist+cloudy",0.44,0.4394,0.77,0.2985,40,70,110,2011-01-01 15:00:00
17,"1/1/2011",1,0,1,16,0,"sat","no","2_Mist+cloudy",0.42,0.4242,0.82,0.2985,41,52,93,2011-01-01 16:00:00
18,"1/1/2011",1,0,1,17,0,"sat","no","2_Mist+cloudy",0.44,0.4394,0.82,0.2836,15,52,67,2011-01-01 17:00:00
19,"1/1/2011",1,0,1,18,0,"sat","no","3_Light snow/rain",0.42,0.4242,0.88,0.2537,9,26,35,2011-01-01 18:00:00
20,"1/1/2011",1,0,1,19,0,"sat","no","3_Light snow/rain",0.42,0.4242,0.88,0.2537,6,31,37,2011-01-01 19:00:00
21,"1/1/2011",1,0,1,20,0,"sat","no","2_Mist+cloudy",0.4,0.4091,0.87,0.2537,11,25,36,2011-01-01 20:00:00
22,"1/1/2011",1,0,1,21,0,"sat","no","2_Mist+cloudy",0.4,0.4091,0.87,0.194,3,31,34,2011-01-01 21:00:00
23,"1/1/2011",1,0,1,22,0,"sat","no","2_Mist+cloudy",0.4,0.4091,0.94,0.2239,11,17,28,2011-01-01 22:00:00
24,"1/1/2011",1,0,1,23,0,"sat","no","2_Mist+cloudy",0.46,0.4545,0.88,0.2985,15,24,39,2011-01-01 23:00:00
25,"1/2/2011",1,0,1,0,0,"Sun","no","2_Mist+cloudy",0.46,0.4545,0.88,0.2985,4,13,17,2011-01-02 00:00:00
26,"1/2/2011",1,0,1,1,0,"Sun","no","2_Mist+cloudy",0.44,0.4394,0.94,0.2537,1,16,17,2011-01-02 01:00:00
